Arvind Krishna - ceo@kaizen.com - ceo
Kavita Joshi - kavita.joshi69@kaizen.com - employee
Kavita Bhat - kavita.bhat9@kaizen.com - employee
Kavita Kapoor - kavita.kapoor66@kaizen.com - employee
Kavita Rao - kavita.rao15@kaizen.com - employee
Kiran Mehta - kiran.mehta93@kaizen.com - employee
Kiran Kapoor - kiran.kapoor91@kaizen.com - employee
Kiran Chopra - kiran.chopra91@kaizen.com - employee
Kiran Iyer - kiran.iyer6@kaizen.com - employee
Kiran Menon - kiran.menon15@kaizen.com - employee
Kiran Sharma - kiran.sharma82@kaizen.com - employee
Kiran Gupta - kiran.gupta21@kaizen.com - employee
Kiran Menon - kiran.menon47@kaizen.com - employee
Kiran Kapoor - kiran.kapoor88@kaizen.com - employee
Manish Shah - manish.shah64@kaizen.com - employee
Manish Nair - manish.nair99@kaizen.com - employee
Manish Kumar - manish.kumar60@kaizen.com - employee
Manish Das - manish.das25@kaizen.com - employee
Manish Das - manish.das16@kaizen.com - employee
Manish Gupta - manish.gupta95@kaizen.com - employee
Manish Kumar - manish.kumar52@kaizen.com - employee
Meena Joshi - meena.joshi17@kaizen.com - employee
Meena Gupta - meena.gupta15@kaizen.com - employee
Meena Sharma - meena.sharma6@kaizen.com - employee
Meena Joshi - meena.joshi35@kaizen.com - employee
Meena Shah - meena.shah60@kaizen.com - employee
Meena Iyer - meena.iyer69@kaizen.com - employee
Meena Nair - meena.nair93@kaizen.com - employee
Neha Singh - neha.singh48@kaizen.com - employee
Neha Patel - neha.patel23@kaizen.com - employee
Neha Reddy - neha.reddy1@kaizen.com - employee
Neha Malhotra - neha.malhotra76@kaizen.com - employee
Neha Menon - neha.menon21@kaizen.com - employee
Neha Shah - neha.shah19@kaizen.com - employee
Neha Shah - neha.shah84@kaizen.com - employee
Neha Reddy - neha.reddy9@kaizen.com - employee
Pooja Rao - pooja.rao40@kaizen.com - employee
Pooja Gupta - pooja.gupta76@kaizen.com - employee
Pooja Mehta - pooja.mehta89@kaizen.com - employee
Pooja Chopra - pooja.chopra85@kaizen.com - employee
Pooja Malhotra - pooja.malhotra64@kaizen.com - employee
Pooja Singh - pooja.singh61@kaizen.com - employee
Pooja Mehta - pooja.mehta87@kaizen.com - employee
Priya Rao - priya.rao74@kaizen.com - employee
Priya Das - priya.das61@kaizen.com - employee
Priya Iyer - priya.iyer81@kaizen.com - employee
Priya Iyer - priya.iyer19@kaizen.com - employee
Priya Iyer - priya.iyer95@kaizen.com - employee
Priya Sharma - priya.sharma20@kaizen.com - employee
Rahul Desai - employee@kaizen.com - employee
Rahul Patel - rahul.patel18@kaizen.com - employee
Rahul Kapoor - rahul.kapoor54@kaizen.com - employee
Rahul Mehta - rahul.mehta19@kaizen.com - employee
Rahul Verma - rahul.verma72@kaizen.com - employee
Rahul Patel - rahul.patel48@kaizen.com - employee
Rahul Gupta - rahul.gupta30@kaizen.com - employee
Rahul Patel - rahul.patel54@kaizen.com - employee
Rahul Rao - rahul.rao33@kaizen.com - employee
Rahul Verma - rahul.verma89@kaizen.com - employee
Rajesh Bhat - rajesh.bhat1@kaizen.com - employee
Rajesh Menon - rajesh.menon40@kaizen.com - employee
Rajesh Singh - rajesh.singh45@kaizen.com - employee
Rajesh Patel - rajesh.patel16@kaizen.com - employee
Rajesh Malhotra - rajesh.malhotra48@kaizen.com - employee
Rajesh Menon - rajesh.menon37@kaizen.com - employee
Rajesh Shah - rajesh.shah40@kaizen.com - employee
Ramesh Das - ramesh.das1@kaizen.com - employee
Ramesh Desai - ramesh.desai21@kaizen.com - employee
Ramesh Desai - ramesh.desai72@kaizen.com - employee
Ramesh Nair - ramesh.nair88@kaizen.com - employee
Ramesh Patel - ramesh.patel3@kaizen.com - employee
Ritu Sharma - ritu.sharma81@kaizen.com - employee
Ritu Kapoor - ritu.kapoor65@kaizen.com - employee
Ritu Malhotra - ritu.malhotra9@kaizen.com - employee
Ritu Singh - ritu.singh96@kaizen.com - employee
Ritu Joshi - ritu.joshi64@kaizen.com - employee
Ritu Kumar - ritu.kumar10@kaizen.com - employee
Ritu Singh - ritu.singh97@kaizen.com - employee
Rohan Desai - rohan.desai82@kaizen.com - employee
Rohan Kumar - rohan.kumar65@kaizen.com - employee
Rohan Rao - rohan.rao56@kaizen.com - employee
Rohan Singh - rohan.singh30@kaizen.com - employee
Rohan Nair - rohan.nair95@kaizen.com - employee
Sanjay Iyer - sanjay.iyer84@kaizen.com - employee
Sanjay Verma - sanjay.verma95@kaizen.com - employee
Sanjay Shah - sanjay.shah26@kaizen.com - employee
Sanjay Menon - sanjay.menon57@kaizen.com - employee
Sanjay Reddy - sanjay.reddy14@kaizen.com - employee
Sanjay Sharma - sanjay.sharma4@kaizen.com - employee
Sanjay Desai - sanjay.desai11@kaizen.com - employee
Sneha Patel - sneha.patel60@kaizen.com - employee
Sneha Verma - sneha.verma20@kaizen.com - employee
Sneha Mehta - sneha.mehta98@kaizen.com - employee
Sneha Das - sneha.das54@kaizen.com - employee
Sneha Mehta - sneha.mehta91@kaizen.com - employee
Sneha Das - sneha.das63@kaizen.com - employee
Sneha Sharma - sneha.sharma49@kaizen.com - employee
Sneha Menon - sneha.menon95@kaizen.com - employee
Sneha Malhotra - sneha.malhotra82@kaizen.com - employee
Sneha Kumar - sneha.kumar63@kaizen.com - employee
Sunita Kapoor - sunita.kapoor80@kaizen.com - employee
Sunita Menon - sunita.menon80@kaizen.com - employee
Sunita Sharma - sunita.sharma37@kaizen.com - employee
Suresh Kapoor - suresh.kapoor37@kaizen.com - employee
Suresh Singh - suresh.singh69@kaizen.com - employee
Suresh Malhotra - suresh.malhotra61@kaizen.com - employee
Suresh Desai - suresh.desai92@kaizen.com - employee
Vikram Kapoor - vikram.kapoor1@kaizen.com - employee
Vikram Malhotra - vikram.malhotra48@kaizen.com - employee
Vikram Kapoor - vikram.kapoor45@kaizen.com - employee
Vikram Gupta - vikram.gupta68@kaizen.com - employee
Vikram Iyer - vikram.iyer96@kaizen.com - employee
Anita Sharma - hr@kaizen.com - hr
Ananya Patel - pm@kaizen.com - project_manager
